Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
0,15,15,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,16,16,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,17,17,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,18,18,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,19,19,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,20,20,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,21,21,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,22,22,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,23,23,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,24,24,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,25,25,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,26,26,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,27,27,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,28,28,2,6,1,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,29,29,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,30,30,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,31,31,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,32,32,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,33,33,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,34,34,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,35,35,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,36,36,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,37,37,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,38,38,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,39,39,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,40,40,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,41,41,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,42,42,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
0,43,43,0,6,0,3,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1
