Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31,q_32,q_33,q_34,q_35,q_36,q_37,q_38,q_39,q_40,q_41,q_42,q_43,q_44,q_45,q_46,q_47,q_48,q_49,q_50,q_51,q_52,q_53,q_54,q_55,q_56,q_57,q_58,q_59,q_60,q_61,q_62,q_63
107,537,2,1,234,0,204,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_1,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
107,538,3,0,234,0,204,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_1,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
107,539,4,1,235,0,205,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
107,540,5,0,235,0,205,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
108,540,0,0,235,0,205,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
108,541,1,0,235,0,205,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
108,542,2,0,235,0,205,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
108,543,3,1,236,0,206,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_3,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
108,544,4,1,237,0,207,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_0,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
108,545,5,1,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
109,545,0,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
109,546,1,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
109,547,2,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
109,548,3,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
109,549,4,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
109,550,5,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
110,550,0,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
110,551,1,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
110,552,2,0,238,0,208,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
110,553,3,1,239,0,209,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
110,554,4,0,239,0,209,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
110,555,5,0,239,0,209,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
111,555,0,0,239,0,209,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
111,556,1,1,240,0,210,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
111,557,2,0,240,0,210,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
111,558,3,0,240,0,210,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
111,559,4,1,241,0,211,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
111,560,5,0,241,0,211,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
112,560,0,0,241,0,211,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
112,561,1,0,241,0,211,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
112,562,2,1,242,0,212,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
112,563,3,0,242,0,212,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_2,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
112,564,4,1,243,0,213,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
112,565,5,0,243,0,213,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
113,565,0,0,243,0,213,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
113,566,1,0,243,0,213,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
113,567,2,0,243,0,213,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_5
113,568,3,1,244,0,214,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_4,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_2
113,569,4,1,245,0,215,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_2
113,570,5,0,245,0,215,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_2
114,570,0,0,245,0,215,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_2
114,571,1,0,245,0,215,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_4,M_5,M_5,M_2
114,572,2,1,246,0,216,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_4,M_5,M_5,M_2
114,573,3,1,247,0,217,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
114,574,4,0,247,0,217,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
114,575,5,0,247,0,217,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
115,575,0,0,247,0,217,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_5,M_3,M_2,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
115,576,1,3,250,0,220,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_3,M_3,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
115,577,2,1,251,0,221,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_1,M_3,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
115,578,3,0,251,0,221,M_3,M_1,M_3,M_2,M_3,M_5,M_5,M_5,M_5,M_2,M_1,M_3,M_1,M_1,M_1,M_1,M_1,M_5,M_1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_4,M_5,M_5,M_5,M_5,M_5,M_5,M_2
