Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_26,q_27,q_28,q_29,q_30,q_31
2,29,9,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
2,30,10,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
3,30,0,0,10,0,5,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_1,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2
3,31,1,4,14,0,9,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,32,2,0,14,0,9,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,33,3,0,14,0,9,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,34,4,0,14,0,9,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,35,5,0,14,0,9,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,36,6,0,14,0,9,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,37,7,2,16,1,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,38,8,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,39,9,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
3,40,10,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,40,0,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,41,1,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,42,2,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,43,3,0,16,0,10,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,44,4,2,18,1,11,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,45,5,2,20,1,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,46,6,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,47,7,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,48,8,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,49,9,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
4,50,10,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,50,0,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,51,1,0,20,0,12,M_3,M_2,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,52,2,2,22,1,13,M_3,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,53,3,2,24,1,14,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,54,4,0,24,0,14,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
5,55,5,0,24,0,14,M_1,M_3,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_3
