Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
4,41,1,2,30,1,18,M_1,M_3,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2,M_0,M_0,M_3,M_3,M_3,M_3
4,42,2,2,32,1,19,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,43,3,0,32,0,19,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,44,4,0,32,0,19,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,45,5,0,32,0,19,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,46,6,2,34,1,20,M_1,M_3,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,47,7,0,34,0,20,M_1,M_3,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,48,8,0,34,0,20,M_1,M_3,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
4,49,9,2,36,1,21,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
4,50,10,0,36,0,21,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
5,50,0,0,36,0,21,M_1,M_3,M_3,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_0
5,51,1,4,40,0,25,M_0,M_2,M_3,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,52,2,0,40,0,25,M_0,M_2,M_3,M_1,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,53,3,2,42,1,26,M_0,M_2,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,54,4,0,42,0,26,M_0,M_2,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,55,5,0,42,0,26,M_0,M_2,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,56,6,0,42,0,26,M_0,M_2,M_3,M_1,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,57,7,2,44,1,27,M_0,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,58,8,0,44,0,27,M_0,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,59,9,0,44,0,27,M_0,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
5,60,10,0,44,0,27,M_0,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,60,0,0,44,0,27,M_0,M_1,M_3,M_2,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,61,1,3,47,0,30,M_0,M_2,M_3,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,62,2,0,47,0,30,M_0,M_2,M_3,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,63,3,0,47,0,30,M_0,M_2,M_3,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,64,4,2,49,1,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
6,65,5,0,49,0,31,M_0,M_2,M_0,M_3,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_0,M_0,M_0,M_3,M_3,M_3,M_3
