Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
3,40,10,0,43,0,39,M_3,M_6,M_2,M_0,M_4,M_4,M_2,M_2,M_5,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,40,0,0,43,0,39,M_3,M_6,M_2,M_0,M_4,M_4,M_2,M_2,M_5,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,41,1,2,45,0,41,M_3,M_6,M_2,M_0,M_4,M_4,M_2,M_4,M_2,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,42,2,2,47,1,42,M_3,M_6,M_0,M_2,M_4,M_4,M_2,M_4,M_2,M_0,M_1,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,43,3,2,49,1,43,M_3,M_6,M_1,M_2,M_4,M_4,M_2,M_4,M_2,M_0,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,44,4,0,49,0,43,M_3,M_6,M_1,M_2,M_4,M_4,M_2,M_4,M_2,M_0,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,45,5,2,51,1,44,M_3,M_6,M_0,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,46,6,0,51,0,44,M_3,M_6,M_0,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,47,7,2,53,1,45,M_0,M_6,M_3,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,48,8,0,53,0,45,M_0,M_6,M_3,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,49,9,1,54,0,46,M_0,M_6,M_5,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
4,50,10,0,54,0,46,M_0,M_6,M_5,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
5,50,0,0,54,0,46,M_0,M_6,M_5,M_2,M_4,M_4,M_2,M_4,M_2,M_1,M_1,M_1,M_0,M_0,M_3,M_3,M_5,M_5,M_6,M_6
5,51,1,5,59,0,51,M_0,M_3,M_6,M_2,M_4,M_4,M_2,M_1,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,52,2,1,60,0,52,M_0,M_3,M_6,M_4,M_4,M_4,M_2,M_1,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,53,3,0,60,0,52,M_0,M_3,M_6,M_4,M_4,M_4,M_2,M_1,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,54,4,1,61,0,53,M_0,M_3,M_6,M_2,M_4,M_4,M_2,M_1,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,55,5,2,63,0,55,M_0,M_3,M_6,M_2,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,56,6,0,63,0,55,M_0,M_3,M_6,M_2,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,57,7,1,64,0,56,M_0,M_3,M_6,M_1,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,58,8,0,64,0,56,M_0,M_3,M_6,M_1,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,59,9,2,66,0,58,M_2,M_3,M_6,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
5,60,10,0,66,0,58,M_2,M_3,M_6,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
6,60,0,0,66,0,58,M_2,M_3,M_6,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_0,M_5,M_3,M_3,M_5,M_5,M_6,M_6
6,61,1,2,68,0,60,M_2,M_3,M_6,M_0,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,62,2,2,70,1,61,M_2,M_0,M_6,M_3,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,63,3,0,70,0,61,M_2,M_0,M_6,M_3,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,64,4,2,72,0,63,M_2,M_0,M_3,M_5,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,65,5,0,72,0,63,M_2,M_0,M_3,M_5,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,66,6,2,74,0,65,M_5,M_0,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,67,7,0,74,0,65,M_5,M_0,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,68,8,0,74,0,65,M_5,M_0,M_3,M_6,M_4,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,69,9,1,75,0,66,M_5,M_0,M_3,M_6,M_2,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
6,70,10,0,75,0,66,M_5,M_0,M_3,M_6,M_2,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,70,0,0,75,0,66,M_5,M_0,M_3,M_6,M_2,M_4,M_4,M_2,M_2,M_1,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,71,1,2,77,0,68,M_5,M_0,M_3,M_6,M_2,M_4,M_4,M_4,M_2,M_2,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,72,2,1,78,0,69,M_5,M_0,M_3,M_6,M_1,M_4,M_4,M_4,M_2,M_2,M_1,M_0,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,73,3,2,80,0,71,M_5,M_0,M_3,M_6,M_1,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,74,4,0,80,0,71,M_5,M_0,M_3,M_6,M_1,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,75,5,2,82,0,73,M_5,M_0,M_1,M_6,M_0,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
7,76,6,1,83,0,74,M_5,M_0,M_1,M_6,M_3,M_4,M_4,M_4,M_2,M_2,M_2,M_1,M_1,M_0,M_3,M_3,M_5,M_5,M_6,M_6
