Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15
0,95,95,0,44,0,44,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_4,M_4,M_4,M_3,M_3,M_3
0,96,96,0,44,0,44,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_4,M_4,M_4,M_3,M_3,M_3
0,97,97,1,45,0,45,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3
0,98,98,0,45,0,45,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_4,M_4,M_4,M_4,M_3,M_3
0,99,99,1,46,0,46,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_4,M_4,M_4,M_3,M_3
0,100,100,0,46,0,46,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_4,M_4,M_4,M_3,M_3
0,101,101,0,46,0,46,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_4,M_4,M_4,M_3,M_3
0,102,102,1,47,0,47,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_4,M_4,M_4,M_4,M_3
0,103,103,1,48,0,48,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_3,M_4,M_4,M_4,M_3
0,104,104,1,49,0,49,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,105,105,0,49,0,49,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,106,106,0,49,0,49,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,107,107,0,49,0,49,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,108,108,0,49,0,49,M_0,M_0,M_0,M_1,M_0,M_2,M_1,M_1,M_1,M_3,M_3,M_3,M_4,M_4,M_4,M_4
