Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15
0,56,56,0,36,0,36,M_5,M_5,M_8,M_8,M_3,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,57,57,1,37,0,37,M_5,M_5,M_8,M_8,M_7,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,58,58,0,37,0,37,M_5,M_5,M_8,M_8,M_7,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,59,59,1,38,0,38,M_5,M_5,M_8,M_8,M_4,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,60,60,0,38,0,38,M_5,M_5,M_8,M_8,M_4,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,61,61,1,39,0,39,M_5,M_5,M_8,M_8,M_9,M_6,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,62,62,1,40,0,40,M_5,M_5,M_8,M_8,M_9,M_2,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,63,63,0,40,0,40,M_5,M_5,M_8,M_8,M_9,M_2,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,64,64,1,41,0,41,M_5,M_5,M_8,M_8,M_9,M_3,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,65,65,0,41,0,41,M_5,M_5,M_8,M_8,M_9,M_3,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,66,66,1,42,0,42,M_5,M_5,M_8,M_8,M_9,M_7,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,67,67,0,42,0,42,M_5,M_5,M_8,M_8,M_9,M_7,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,68,68,1,43,0,43,M_5,M_5,M_8,M_8,M_9,M_4,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,69,69,0,43,0,43,M_5,M_5,M_8,M_8,M_9,M_4,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,70,70,2,45,0,45,M_5,M_5,M_8,M_8,M_9,M_9,M_2,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,71,71,0,45,0,45,M_5,M_5,M_8,M_8,M_9,M_9,M_2,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_9
0,72,72,2,47,0,47,M_5,M_5,M_8,M_8,M_9,M_9,M_3,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,73,73,0,47,0,47,M_5,M_5,M_8,M_8,M_9,M_9,M_3,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,74,74,1,48,0,48,M_5,M_5,M_8,M_8,M_9,M_9,M_7,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,75,75,0,48,0,48,M_5,M_5,M_8,M_8,M_9,M_9,M_7,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,76,76,1,49,0,49,M_5,M_5,M_8,M_8,M_9,M_9,M_4,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,77,77,0,49,0,49,M_5,M_5,M_8,M_8,M_9,M_9,M_4,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,78,78,1,50,0,50,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_2,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,79,79,1,51,0,51,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_3,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,80,80,0,51,0,51,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_3,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,81,81,1,52,0,52,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_7,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,82,82,0,52,0,52,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_7,M_2,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,83,83,2,54,0,54,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_4,M_3,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,84,84,0,54,0,54,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_4,M_3,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,85,85,1,55,0,55,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_3,M_3,M_3,M_7,M_7,M_4,M_4,M_6
0,86,86,1,56,0,56,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_3,M_3,M_3,M_7,M_7,M_4,M_4,M_1
0,87,87,1,57,0,57,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_7,M_3,M_3,M_7,M_7,M_4,M_4,M_1
0,88,88,0,57,0,57,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_7,M_3,M_3,M_7,M_7,M_4,M_4,M_1
0,89,89,1,58,0,58,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_4,M_3,M_3,M_7,M_7,M_4,M_4,M_1
0,90,90,0,58,0,58,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_4,M_3,M_3,M_7,M_7,M_4,M_4,M_1
0,91,91,1,59,0,59,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_3,M_3,M_7,M_7,M_4,M_4,M_1
0,92,92,1,60,0,60,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_7,M_3,M_7,M_7,M_4,M_4,M_1
0,93,93,0,60,0,60,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_7,M_3,M_7,M_7,M_4,M_4,M_1
0,94,94,1,61,0,61,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_4,M_3,M_7,M_7,M_4,M_4,M_1
0,95,95,1,62,0,62,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_4,M_7,M_7,M_7,M_4,M_4,M_1
0,96,96,1,63,0,63,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_7,M_7,M_7,M_4,M_4,M_1
0,97,97,0,63,0,63,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_7,M_7,M_7,M_4,M_4,M_1
0,98,98,1,64,0,64,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_4,M_7,M_7,M_4,M_4,M_1
0,99,99,2,66,0,66,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_4,M_7,M_7,M_7,M_4,M_4
0,100,100,0,66,0,66,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_4,M_7,M_7,M_7,M_4,M_4
0,101,101,1,67,0,67,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_7,M_7,M_7,M_4,M_4
0,102,102,1,68,0,68,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_7,M_7,M_4,M_4
0,103,103,1,69,0,69,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_7,M_7,M_7,M_4
0,104,104,0,69,0,69,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_7,M_7,M_7,M_4
0,105,105,1,70,0,70,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_4,M_7,M_7,M_4
0,106,106,1,71,0,71,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_4,M_7,M_7,M_7
0,107,107,0,71,0,71,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_4,M_7,M_7,M_7
0,108,108,0,71,0,71,M_5,M_5,M_8,M_8,M_9,M_9,M_6,M_6,M_1,M_1,M_0,M_4,M_4,M_7,M_7,M_7
